rank	id	title	score	year	genre	imdb
123	tt0374089	Nomad: The Warrior	5.8	2005	drama, history, war	http://www.imdb.com/title/tt0374089/
124	tt0098022	Old Gringo	5.7	1989	adventure, history, romance	http://www.imdb.com/title/tt0098022/
125	tt0107096	Heaven & Earth	6.6	1993	action, biography, drama, history, war	http://www.imdb.com/title/tt0107096/
126	tt0816462	Conan the Barbarian	5.1	2011	action, adventure, fantasy	http://www.imdb.com/title/tt0816462/
127	tt0108255	Super Mario Bros.	3.8	1993	adventure, comedy, family, fantasy, sci_fi	http://www.imdb.com/title/tt0108255/
128	tt0084931	Yes, Giorgio	3.8	1982	comedy, musical	http://www.imdb.com/title/tt0084931/
129	tt0361500	Delgo	4.3	2008	animation, adventure, comedy, fantasy, romance	http://www.imdb.com/title/tt0361500/
130	tt0346491	Alexander	5.4	2004	action, adventure, biography, drama, history, romance, war	http://www.imdb.com/title/tt0346491/
131	tt0119123	Fire Down Below	4.6	1997	action, drama, thriller	http://www.imdb.com/title/tt0119123/
132	tt0327247	The Whole Ten Yards	5.2	2004	comedy, crime, thriller	http://www.imdb.com/title/tt0327247/
133	tt0120479	Warriors of Virtue	4.2	1997	action, fantasy, adventure	http://www.imdb.com/title/tt0120479/
134	tt0160399	Impostor	6	2001	sci_fi, thriller, action, drama	http://www.imdb.com/title/tt0160399/
135	tt0118829	Cats Don't Dance	6.7	1997	animation, comedy, family, fantasy, musical	http://www.imdb.com/title/tt0118829/
136	tt0118158	White Squall	6.4	1996	adventure, drama	http://www.imdb.com/title/tt0118158/
137	tt0107362	Last Action Hero	6	1993	action, adventure, comedy, family, fantasy	http://www.imdb.com/title/tt0107362/
138	tt0246464	Big Trouble	6.2	2002	comedy, crime, thriller	http://www.imdb.com/title/tt0246464/
139	tt0089961	Santa Claus	5.3	1985	adventure, family, fantasy	http://www.imdb.com/title/tt0089961/
140	tt0891592	Street Fighter: The Legend of Chun-Li	3.7	2009	action, crime, drama, thriller	http://www.imdb.com/title/tt0891592/
141	tt0970411	City of Ember	6.4	2008	adventure, family, fantasy, sci_fi	http://www.imdb.com/title/tt0970411/
142	tt0089469	Legend	6.2	1985	fantasy, adventure, romance	http://www.imdb.com/title/tt0089469/
143	tt0093405	Leonard Part 6	2.1	1987	action, comedy	http://www.imdb.com/title/tt0093405/
144	tt1075747	Jonah Hex	4.6	2010	action, drama, fantasy, thriller, western	http://www.imdb.com/title/tt1075747/
145	tt1046997	Miracle at St. Anna	5.9	2008	action, crime, drama, thriller, war	http://www.imdb.com/title/tt1046997/
146	tt0076740	Sorcerer	7.4	1977	action, adventure, drama	http://www.imdb.com/title/tt0076740/
147	tt0083001	Roar	5.8	1981	adventure, thriller	http://www.imdb.com/title/tt0083001/
148	tt0101458	Until the End of the World	6.6	1991	drama, sci_fi	http://www.imdb.com/title/tt0101458/
149	tt0120004	The Relic	5.5	1997	horror, mystery, thriller	http://www.imdb.com/title/tt0120004/
150	tt0283160	Extreme Ops	4.2	2002	action, adventure, thriller	http://www.imdb.com/title/tt0283160/
151	tt0108395	A Troll in Central Park	4.8	1994	animation, family, fantasy	http://www.imdb.com/title/tt0108395/
152	tt0114108	The Pebble and the Penguin	5.2	1995	animation, adventure, comedy, family, musical, romance	http://www.imdb.com/title/tt0114108/
153	tt0113010	Fair Game	3.9	1995	action, thriller	http://www.imdb.com/title/tt0113010/
154	tt0430912	Basic Instinct 2	4	2006	crime, horror, mystery, thriller	http://www.imdb.com/title/tt0430912/
155	tt0185431	Little Nicky	5.1	2000	comedy, fantasy	http://www.imdb.com/title/tt0185431/
156	tt1053810	The Big Year	6.1	2011	comedy	http://www.imdb.com/title/tt1053810/
157	tt0120184	Sphere	5.8	1998	drama, mystery, sci_fi, thriller	http://www.imdb.com/title/tt0120184/
158	tt0204313	Exorcist: The Beginning	5	2004	horror, mystery, thriller	http://www.imdb.com/title/tt0204313/
159	tt0107563	The Meteor Man	4.6	1993	fantasy, sci_fi, comedy	http://www.imdb.com/title/tt0107563/
160	tt0167456	Thunderbirds	4	2004	action, adventure, comedy, family, sci_fi	http://www.imdb.com/title/tt0167456/
161	tt0363282	New York Minute	4.3	2004	comedy	http://www.imdb.com/title/tt0363282/
162	tt0411951	Tekken	4.8	2010	action, crime, drama, thriller	http://www.imdb.com/title/tt0411951/
163	tt0176269	Universal Soldier: The Return	3.8	1999	action, sci_fi	http://www.imdb.com/title/tt0176269/
164	tt0780567	Imagine That	5.4	2009	comedy, drama, family, fantasy	http://www.imdb.com/title/tt0780567/
165	tt0119484	Kull the Conqueror	4.6	1997	fantasy, action, adventure	http://www.imdb.com/title/tt0119484/
166	tt0084316	Megaforce	3	1982	sci_fi, action	http://www.imdb.com/title/tt0084316/
167	tt0105483	A Stranger Among Us	5.5	1992	crime, drama, romance	http://www.imdb.com/title/tt0105483/
168	tt0120797	Pushing Tin	5.9	1999	comedy, drama, romance	http://www.imdb.com/title/tt0120797/
169	tt0338188	The Missing	6.4	2003	adventure, thriller, western	http://www.imdb.com/title/tt0338188/
170	tt0117331	The Phantom	4.8	1996	action, adventure, comedy	http://www.imdb.com/title/tt0117331/
171	tt0117768	The Stupids	3.8	1996	comedy, adventure	http://www.imdb.com/title/tt0117768/
172	tt0109190	Baby's Day Out	5.4	1994	adventure, comedy, crime, drama, family	http://www.imdb.com/title/tt0109190/
173	tt0110538	Mixed Nuts	5	1994	comedy, drama	http://www.imdb.com/title/tt0110538/
174	tt0088814	The Black Cauldron	6.3	1985	animation, adventure, family, fantasy	http://www.imdb.com/title/tt0088814/
175	tt1032751	The Warrior's Way	6.2	2010	action, fantasy, western	http://www.imdb.com/title/tt1032751/
176	tt0105629	Toys	4.8	1992	comedy, drama, family, fantasy	http://www.imdb.com/title/tt0105629/
177	tt0155975	Psycho	4.6	1998	horror, mystery, thriller	http://www.imdb.com/title/tt0155975/
178	tt0118589	Glitter	2	2001	music, romance	http://www.imdb.com/title/tt0118589/
179	tt0421054	Domino	5.8	2005	action, biography, crime, drama, thriller	http://www.imdb.com/title/tt0421054/
180	tt0116823	Larger Than Life	5.2	1996	comedy, family	http://www.imdb.com/title/tt0116823/
181	tt0109456	Color of Night	4.9	1994	mystery, romance, thriller, drama	http://www.imdb.com/title/tt0109456/
182	tt0236348	Josie and the Pussycats	5	2001	comedy, music	http://www.imdb.com/title/tt0236348/
183	tt0119594	Twilight	6.1	1998	crime, drama, mystery, thriller	http://www.imdb.com/title/tt0119594/
184	tt0326856	Envy	4.6	2004	comedy	http://www.imdb.com/title/tt0326856/
185	tt0091934	Shanghai Surprise	2.8	1986	adventure, crime, drama, romance	http://www.imdb.com/title/tt0091934/
186	tt1674784	Trespass	5.2	2011	crime, drama, thriller	http://www.imdb.com/title/tt1674784/
187	tt0831887	The Spirit	4.8	2008	action, comedy, crime, fantasy	http://www.imdb.com/title/tt0831887/
188	tt0118661	The Avengers	3.5	1998	action, adventure, sci_fi, thriller	http://www.imdb.com/title/tt0118661/
189	tt0375173	Alfie	6	2004	comedy, drama, romance	http://www.imdb.com/title/tt0375173/
190	tt0116259	Extreme Measures	5.9	1996	crime, drama, mystery, thriller	http://www.imdb.com/title/tt0116259/
191	tt0295254	FeardotCom	3.3	2002	horror, thriller, crime	http://www.imdb.com/title/tt0295254/
