position	rank	score	title	year	genre	mpaa	imdb
1651	1030	83.80000024	Romeo and Juliet	1936	Drama	N/A	http://www.imdb.com/title/tt0028203/
1652		83.80000022	Loulou (French)	1980	Drama	N/A	http://www.imdb.com/title/tt0081076/
1653		83.80000021	Doctor in the House (British)	1954	Comedy	N/A	http://www.imdb.com/title/tt0046921/
1654	1031	83.8000002	Wanda	1971	Drama	PG	http://www.imdb.com/title/tt0067961/
1655	1032	83.8000002	Torrid Zone	1940	Comedy	N/A	http://www.imdb.com/title/tt0033175/
1656		83.80000018	Don's Party (Australian)	1976	Comedy	N/A	http://www.imdb.com/title/tt0074422/
1657	1033	83.80000016	Everything Put Together	2001	Drama	R	http://www.imdb.com/title/tt0228277/
1658		83.80000016	The Wide Blue Road (Italian)	1957	Drama	N/A	http://www.imdb.com/title/tt0050454/
1659	1034	83.80000014	The Voice of the Turtle	1947	Comedy	N/A	http://www.imdb.com/title/tt0039969/
1660	1035	83.80000014	The Green Pastures	1936	Fantasy	N/A	http://www.imdb.com/title/tt0027700/
1661	1036	83.80000013	The City	1999	Drama	N/A	http://www.imdb.com/title/tt0168589/
1662		83.80000011	Girl With a Suitcase (Italian)	1960	Drama	N/A	http://www.imdb.com/title/tt0054225/
1663	1037	83.8000001	Hallelujah, I'm a Bum	1933	Musical	N/A	http://www.imdb.com/title/tt0024083/
1664		83.80000008	East Side Story (German-French)	1997	Documentary	N/A	http://www.imdb.com/title/tt0119040/
1665	1038	83.80000006	Downstairs	1932	Drama	N/A	http://www.imdb.com/title/tt0022834/
1666	1039	83.80000005	King: A Filmed Record... Montgomery to Memphis	1970	Documentary	N/A	http://www.imdb.com/title/tt0065944/
1667		83.80000005	The Hireling (British)	1973	Drama	PG	http://www.imdb.com/title/tt0070180/
1668		83.60000873	On Her Majesty's Secret Service (British)	1969	Action	M/PG	http://www.imdb.com/title/tt0064757/
1669	1040	83.6000082	Out of Africa	1985	Drama	PG	http://www.imdb.com/title/tt0089755/
1670		83.60000626	Lolita (British-French)	1997	Drama	R	http://www.imdb.com/title/tt0061770/
1671	1041	83.60000547	Prizzi's Honor	1985	Comedy	R	http://www.imdb.com/title/tt0089841/
1672	1042	83.60000382	Tucker: The Man and His Dream	1988	Biography	PG	http://www.imdb.com/title/tt0096316/
1673	1043	83.60000361	Cradle Will Rock	1999	Drama	R	http://www.imdb.com/title/tt0150216/
1674		83.60000194	The French Lieutenant's Woman (British)	1981	Drama	R	http://www.imdb.com/title/tt0082416/
1675	1044	83.60000176	The Milagro Beanfield War	1988	Comedy-Drama	R	http://www.imdb.com/title/tt0095638/
1676	1045	83.60000145	The Pit and the Pendulum	1961	Horror	N/A	http://www.imdb.com/title/tt0055304/
1677	1046	83.60000138	A Cry in the Dark (U.S.-Australian)	1988	Drama	PG-13	http://www.imdb.com/title/tt0094924/
1678		83.60000121	Code Unknown (French-German-Romanian)	2000	Drama	N/A	http://www.imdb.com/title/tt0216625/
1679	1047	83.60000086	King Solomon's Mines	1950	Adventure	N/A	http://www.imdb.com/title/tt0042646/
1680	1048	83.6000007	King of Kings	1961	Biography	PG-13	http://www.imdb.com/title/tt0055047/
1681		83.60000067	Pauline & Paulette (Belgian-French-Dutch)	2001	Drama	PG	http://www.imdb.com/title/tt0256259/
1682		83.60000059	Murder Ahoy (British)	1964	Mystery	N/A	http://www.imdb.com/title/tt0032904/
1683	1049	83.60000041	The Long Voyage Home	1940	Drama	N/A	http://www.imdb.com/title/tt0032728/
1684		83.6000004	The Knack, and How to Get It (British)	1965	Comedy	N/A	http://www.imdb.com/title/tt0059362/
1685		83.60000039	Defence of the Realm (British)	1985	Suspense	PG	http://www.imdb.com/title/tt0089009/
1686	1050	83.60000036	Go Tell the Spartans	1978	War	R	http://www.imdb.com/title/tt0077617/
1687	1051	83.60000034	Intermezzo	1939	Drama	N/A	http://www.imdb.com/title/tt0031491/
1688		83.60000029	Cartouche (French-Italian)	1964	Adventure	N/A	http://www.imdb.com/title/tt0055832/
1689		83.60000025	The Shooting Party (British)	1984	Drama	N/A	http://www.imdb.com/title/tt0083564/
1690		83.60000021	The Third Generation (German)	1979	Comedy	N/A	http://www.imdb.com/title/tt0079083/
1691	1052	83.60000018	Shake Hands With the Devil	1959	Drama	N/A	http://www.imdb.com/title/tt0053272/
1692		83.60000016	Queen of Hearts (British)	1989	Comedy-Drama	PG	http://www.imdb.com/title/tt0098153/
1693		83.60000014	I Was Monty's Double (British)	1958	War Drama	N/A	http://www.imdb.com/title/tt0051759/
