position	rank	score	title	year	genre	mpaa	imdb
483		86.80000145	Woman in the Dunes (Japanese)	1964	Drama	N/A	http://www.imdb.com/title/tt0058625/
484		86.80000063	Ivan the Terrible, Part Two (Russian)	1946	Biography	N/A	http://www.imdb.com/title/tt0051790/
485	308	86.80000056	The Revolution Will Not Be Televised (Irish-Dutch-U.S.-German-Finnish-	2002	Documentary	N/A	http://www.imdb.com/title/tt0363510/
486	309	86.80000032	Harlan County, U.S.A.	1977	Documentary	PG	http://www.imdb.com/title/tt0074605/
487		86.8000003	Diary of a Lost Girl (German Silent)	1929	Drama	N/A	http://www.imdb.com/title/tt0020475/
488		86.80000023	Fanny (French)	1932	Drama	N/A	http://www.imdb.com/title/tt0022877/
489		86.80000023	The Baker's Wife (French)	1938	Comedy	N/A	http://www.imdb.com/title/tt0030127/
490		86.80000016	Fires on the Plain (Japanese)	1959	War Drama	N/A	http://www.imdb.com/title/tt0053121/
491		86.80000003	The Great Adventure (Swedish)	1953	Drama	N/A	http://www.imdb.com/title/tt0046373/
492		86.80000001	Mouth to Mouth (Australian)	1978	Crime Drama	N/A	http://www.imdb.com/title/tt0077951/
493	310	86.61606991	Fargo	1996	Crime Drama	R	http://www.imdb.com/title/tt0116282/
494	311	86.60300296	The Kid (Silent)	1921	Comedy-Drama	N/A	http://www.imdb.com/title/tt0012349/
495	312	86.60009903	Braveheart	1995	Biography	R	http://www.imdb.com/title/tt0112573/
496	313	86.60007377	Kill Bill Vol. 1	2003	Action	R	http://www.imdb.com/title/tt0266697/
497	314	86.60006855	Aliens	1986	Science Fiction	R	http://www.imdb.com/title/tt0090605/
498	315	86.60003161	The Sting	1973	Crime Drama	PG	http://us.imdb.com/title/tt0070735/
499		86.60002654	Princess Mononoke (Japanese)	1997	Fantasy	PG-13	http://www.imdb.com/title/tt0119698/
500		86.60001608	Ran (Japanese-French)	1985	War Drama	R	http://www.imdb.com/title/tt0089881/
501	316	86.60001131	Before Sunset	2004	Drama	R	http://www.imdb.com/title/tt0381681/
502	317	86.60000903	The Night of the Hunter	1955	Suspense	N/A	http://www.imdb.com/title/tt0048424/
503	318	86.60000402	The Fog of War	2003	Documentary	PG-13	http://www.imdb.com/title/tt0317910/
504		86.60000392	Kind Hearts and Coronets (British)	1949	Comedy	N/A	http://www.imdb.com/title/tt0041546/
505	319	86.60000327	Out of the Past	1947	Crime Drama	N/A	http://www.imdb.com/title/tt0039689/
506		86.60000169	Pather Panchali (Indian)	1955	Drama	N/A	http://www.imdb.com/title/tt0048473/
507	320	86.60000057	Midnight	1939	Comedy	N/A	http://www.imdb.com/title/tt0031647/
508		86.60000055	Le Corbeau (French)	1943	Suspense	N/A	http://www.imdb.com/title/tt0035753/
509		86.60000049	Floating Weeds (Japanese)	1959	Drama	N/A	http://www.imdb.com/title/tt0053390/
510		86.60000047	Le Jour Se L�ve (French)	1939	Crime Drama	N/A	http://www.imdb.com/title/tt0031514/
511		86.60000026	The Burmese Harp (Japanese)	1956	War Drama	N/A	http://www.imdb.com/title/tt0049012/
512	321	86.60000023	Tol'able David (Silent)	1921	Action	N/A	http://www.imdb.com/title/tt0012763/
513		86.60000013	The Crucified Lovers (Japanese)	1954	Drama	N/A	http://www.imdb.com/title/tt0046851/
514	322	86.60000013	Hotel Terminus: The Life and Times of Klaus Barbie	1987	Documentary	N/A	http://www.imdb.com/title/tt0095341/
515		86.60000004	The Anderson Platoon (French)	1967	Documentary	N/A	http://www.imdb.com/title/tt0062244/
516	323	86.50201539	Cool Hand Luke	1967	Crime Drama	N/A	http://www.imdb.com/title/tt0061512/
517	324	86.5020081	Shadow of a Doubt	1943	Suspense	N/A	http://www.imdb.com/title/tt0036342/
518	325	86.42802267	Ben-Hur	1959	Adventure	G	http://www.imdb.com/title/tt0052618/
519	326	86.4170456	Platoon	1986	War Drama	R	http://www.imdb.com/title/tt0091763/
520	327	86.40300772	The Killing	1956	Crime Drama	N/A	http://www.imdb.com/title/tt0049406/
521	328	86.40203349	Unforgiven	1992	Western	R	http://www.imdb.com/title/tt0105695/
522	329	86.40012275	The Sixth Sense	1999	Fantasy	PG-13	http://www.imdb.com/title/tt0167404/
523	330	86.40010745	Return of the Jedi	1983	Science Fiction	PG	http://www.imdb.com/title/tt0086190/
524	331	86.40002816	Finding Neverland (U.S.-British)	2004	Biography	PG	http://www.imdb.com/title/tt0308644/
525	332	86.40001792	The Elephant Man	1980	Biography	PG	http://www.imdb.com/title/tt0080678/
526		86.40001305	The Celebration (Danish)	1998	Drama	R	http://www.imdb.com/title/tt0154420/
527	333	86.40000997	Charade	1963	Mystery	N/A	http://www.imdb.com/title/tt0056923/
528	334	86.40000483	White Heat	1949	Crime Drama	N/A	http://www.imdb.com/title/tt0042041/
529		86.4000044	Aguirre: The Wrath of God (German)	1972	Adventure	N/A	http://www.imdb.com/title/tt0068182/
530		86.40000346	Diabolique (French)	1955	Suspense	N/A	http://www.imdb.com/title/tt0046911/
531		86.40000278	Dersu Uzala (Japanese-Russian)	1975	Drama	G	http://www.imdb.com/title/tt0071411/
532	335	86.40000272	Hearts of Darkness: A Filmmaker's Apocalypse	1991	Documentary	R	http://www.imdb.com/title/tt0102015/
533		86.40000167	Rocco and His Brothers (Italian)	1960	Drama	N/A	http://www.imdb.com/title/tt0054248/
534	336	86.40000061	Nightmare Alley	1947	Drama	N/A	http://www.imdb.com/title/tt0039661/
535		86.40000061	Diary of a Country Priest (French)	1950	Drama	N/A	http://www.imdb.com/title/tt0042619/
536		86.40000041	Lone Wolf and Cub 2: Baby Cart at the River Styx (Japanese)	1972	Action	N/A	http://www.imdb.com/title/tt0068816/
537		86.40000037	Kings of the Road (German)	1976	Drama	N/A	http://www.imdb.com/title/tt0073152/
538	337	86.4000002	The Man Who Laughs (Silent)	1928	Drama	N/A	http://www.imdb.com/title/tt0019130/
539		86.4000002	Anne Frank Remembered (British)	1995	Documentary	PG	http://www.imdb.com/title/tt0112373/
540	338	86.30200595	To Have and Have Not	1944	Adventure	N/A	http://www.imdb.com/title/tt0037382/
541	339	86.30200278	My Man Godfrey	1936	Comedy	N/A	http://www.imdb.com/title/tt0028010/
542	340	86.20301221	Arsenic and Old Lace	1944	Comedy	N/A	http://www.imdb.com/title/tt0036613/
543	341	86.20003741	Big Fish	2003	Drams	PG-13	http://www.imdb.com/title/tt0319061/
544	342	86.2000212	A Christmas Story	1983	Comedy	PG	http://www.imdb.com/title/tt0085334/
545	343	86.20001373	Manhattan	1979	Comedy	R	http://www.imdb.com/title/tt0079522/
546		86.20001362	Barry Lyndon (British)	1975	Drama	PG	http://www.imdb.com/title/tt0072684/
547	344	86.20001274	Roman Holiday	1953	Comedy-Drama	N/A	http://www.imdb.com/title/tt0046250/
548		86.20001077	Wings of Desire (West German-French)	1988	Fantasy	PG-13	http://www.imdb.com/title/tt0093191/
549		86.20001032	Nosferatu (German Silent)	1922	Horror	N/A	http://www.imdb.com/title/tt0013442/
550		86.20000976	In America (Irish-British)	2003	Drama	PG-13	http://www.imdb.com/title/tt0298845/
551	345	86.2000085	Harvey	1950	Fantasy	N/A	http://us.imdb.com/title/tt0042546/
552		86.20000537	Persona (Swedish)	1966	Drama	N/A	http://www.imdb.com/title/tt0060827/
553		86.20000397	The Cabinet of Dr. Caligari (German Silent)	1919	Suspense	N/A	http://www.imdb.com/title/tt0010323/
554		86.20000367	The Hidden Fortress (Japanese)	1958	Adventure	N/A	http://www.imdb.com/title/tt0051808/
555	346	86.20000352	Capturing the Friedmans	2003	Documentary	N/A	http://www.imdb.com/title/tt0342172/
556	347	86.20000301	Sergeant York	1941	War Drama	N/A	http://www.imdb.com/title/tt0034167/
557	348	86.20000285	Ninotchka	1939	Comedy	N/A	http://www.imdb.com/title/tt0031725/
558		86.20000252	Viridiana (Spanish)	1961	Drama	N/A	http://www.imdb.com/title/tt0055601/
559	349	86.20000231	The Lady Eve	1941	Comedy	N/A	http://www.imdb.com/title/tt0033804/
560		86.20000184	Winter Light (Swedish)	1963	Drama	N/A	http://www.imdb.com/title/tt0057358/
561	350	86.20000144	A Face in the Crowd	1957	Drama	N/A	http://www.imdb.com/title/tt0050371/
562		86.20000133	The Testament of Dr. Mabuse (German)	1932	Crime Drama	N/A	http://www.imdb.com/title/tt0023563/
563	351	86.20000103	The Set-Up	1949	Drama	N/A	http://www.imdb.com/title/tt0041859/
564	352	86.20000082	Stevie	2003	Documentary	R	http://www.imdb.com/title/tt0334416/
565		86.20000076	This Sporting Life (British)	1963	Drama	N/A	http://www.imdb.com/title/tt0057578/
566		86.20000059	Quai des Orf�vres (French)	1947	Crime Drama	N/A	http://www.imdb.com/title/tt0090366/
567		86.20000046	Miracle in Milan (Italian)	1951	Comedy	N/A	http://www.imdb.com/title/tt0043809/
568	353	86.20000035	Show People (Silent)	1928	Comedy	N/A	http://www.imdb.com/title/tt0019379/
569		86.20000032	Chushingura (Japanese)	1962	Action	N/A	http://www.imdb.com/title/tt0055850/
570	354	86.20000029	Les Miserables	1935	Crime Drama	N/A	http://www.imdb.com/title/tt0026725/
571		86.20000025	Dream of Light (Spanish)	1990	Documentary	N/A	http://www.imdb.com/title/tt0105438/
572	355	86.20000021	Broadway: The Golden Age	2004	Documentary	N/A	http://www.imdb.com/title/tt0303797/
573		86.2000002	The Wannsee Conference (German-Austrian)	1984	Drama	N/A	http://www.imdb.com/title/tt0088377/
574	356	86.20000018	American Dream	1989	Documentary	N/A	http://www.imdb.com/title/tt0099028/
575	357	86.20000018	The Man on the Flying Trapeze	1935	Comedy	N/A	http://www.imdb.com/title/tt0026676/
576	358	86.20000017	Patterns	1956	Drama	N/A	http://www.imdb.com/title/tt0049601/
577		86.20000016	Cesar (French)	1936	Drama	N/A	http://www.imdb.com/title/tt0027489/
578		86.20000014	The Queen of Spades (British)	1949	Drama	N/A	http://www.imdb.com/title/tt0041776/
579		86.20000014	Two Daughters (Indian)	1961	Comedy-Drama	N/A	http://www.imdb.com/title/tt0055508/
580		86.2000001	The Home and the World (Indian)	1984	Drama	N/A	http://www.imdb.com/title/tt0087328/
581	359	86.20000004	The Constant Nymph	1943	Drama	N/A	http://www.imdb.com/title/tt0035751/
582	360	86.20000002	The Children of Theatre Street	1977	Documentary	G	http://www.imdb.com/title/tt0075839/
583	361	86.20000001	Gospel	1982	Concert	G	http://www.imdb.com/title/tt0162351/
584	362	86.06101093	Doctor Zhivago	1965	Drama	PG-13	http://www.imdb.com/title/tt0059113/
585	363	86.01300664	Frankenstein	1931	Science Fiction	N/A	http://www.imdb.com/title/tt0021884/
586	364	86.00303265	Young Frankenstein	1974	Comedy	PG	http://www.imdb.com/title/tt0072431/
587	365	86.00302279	Spartacus	1960	Biography	PG-13	http://www.imdb.com/title/tt0054331/
588	366	86.00300393	Inherit the Wind	1960	Drama	PG	http://www.imdb.com/title/tt0053946/
589	367	86.00005556	Toy Story 2	1999	Fantasy	G	http://www.imdb.com/title/tt0120363/
590	368	86.00004934	Lost in Translation	2003	Comedy-Drama	R	http://www.imdb.com/title/tt0335266/
591	369	86.00004889	Heat	1995	Crime Drama	R	http://www.imdb.com/title/tt0113277/
592	370	86.00004186	Almost Famous	2000	Biography	R	http://www.imdb.com/title/tt0181875/
593	371	86.00003738	Mystic River	2003	Crime Drama	R	http://www.imdb.com/title/tt0327056/
594	372	86.00002557	Sling Blade	1996	Crime Drama	R	http://www.imdb.com/title/tt0117666/
595	373	86.00002017	The Straight Story	1999	Drama	G	http://www.imdb.com/title/tt0166896/
596		86.00001722	Dogville (Danish-Swedish-British-French-German-Dutch)	2003	Drama	R	http://www.imdb.com/title/tt0276919/
597		86.00001713	Gandhi (British-Indian)	1982	Biography	PG	http://www.imdb.com/title/tt0083987/
598	374	86.00001661	Dog Day Afternoon	1975	Crime Drama	R	http://www.imdb.com/title/tt0072890/
599		86.00000996	The Killer (Hong Kong)	1989	Action	N/A	http://www.imdb.com/title/tt0097202/
600	375	86.00000985	Who's Afraid of Virginia Woolf?	1966	Drama	N/A	http://www.imdb.com/title/tt0061184/
601		86.00000932	The Sea Inside (Spanish-French-Italian)	2004	Drama	PG-13	http://www.imdb.com/title/tt0369702/
602		86.0000084	No Man's Land (Bosnian)	2001	War Drama	R	http://www.imdb.com/title/tt0283509/
603		86.00000736	Solaris (Russian)	1972	Science Fiction	PG	http://www.imdb.com/title/tt0069293/
604		86.00000614	Jean de Florette (French)	1986	Drama	PG	http://www.imdb.com/title/tt0091288/
605		86.00000584	La Dolce Vita (Italian)	1960	Drama	N/A	http://www.imdb.com/title/tt0053779/
606		86.00000486	The Magdalene Sisters (British-Irish)	2002	Drama	R	http://www.imdb.com/title/tt0059113/
607	376	86.0000045	Spellbound	2003	Documentary	G	http://www.imdb.com/title/tt0334405/
608	377	86.00000396	The Shop Around the Corner	1940	Comedy	N/A	http://www.imdb.com/title/tt0033045/
609		86.00000328	To Live (Chinese)	1994	Drama	N/A	http://www.imdb.com/title/tt0110081/
610		86.00000196	Through a Glass, Darkly (Swedish)	1961	Drama	N/A	http://www.imdb.com/title/tt0055499/
611	378	86.00000186	The Awful Truth	1937	Comedy	N/A	http://www.imdb.com/title/tt0028597/
612		86.0000012	Le Cercle Rouge (French-Italian)	1970	Crime Drama	N/A	
613		86.0000008	We All Loved Each Other So Much (Italian)	1974	Comedy	N/A	http://www.imdb.com/title/tt0075793/
614		86.00000079	The Cranes Are Flying (Russian)	1957	Drama	N/A	http://www.imdb.com/title/tt0050634/
615	379	86.00000075	Seven Chances (Silent)	1925	Comedy	N/A	http://www.imdb.com/title/tt0016332/
616	380	86.00000071	The Adventures of Sherlock Holmes	1939	Mystery	N/A	http://www.imdb.com/title/tt0031022/
617		86.00000068	Ossessione (Italian)	1942	Crime Drama	N/A	http://www.imdb.com/title/tt0035160/
618		86.00000064	The Cruel Sea (British)	1953	War Drama	N/A	http://www.imdb.com/title/tt0045659/
619	381	86.0000006	Gold Diggers of 1933	1933	Musical	N/A	http://www.imdb.com/title/tt0024069/
620		86.00000059	DivorceﾗItalian Style (Italian)	1961	Comedy	N/A	http://www.imdb.com/title/tt0055913/
621		86.00000052	Mamma Roma (Italian)	1962	Drama	N/A	http://www.imdb.com/title/tt0056215/
622		86.00000051	The Night of the Shooting Stars (Italian)	1982	Drama	R	http://www.imdb.com/title/tt0084422/
623		86.00000034	The Fallen Idol (British)	1948	Suspense	N/A	http://www.imdb.com/title/tt0040338/
624		86.00000033	In a Year of Thirteen Moons (German)	1978	Drama	N/A	http://www.imdb.com/title/tt0077729/
625		86.00000032	Le Million (French)	1931	Musical	N/A	http://www.imdb.com/title/tt0022150/
626	382	86.00000017	Street Scene	1931	Drama	N/A	http://www.imdb.com/title/tt0022436/
627		86.00000015	The Two of Us (French)	1968	Comedy-Drama	N/A	http://www.imdb.com/title/tt0063771/
628	383	86.0000001	Grass: A Nation's Battle for Life (Silent)	1925	Adventure	N/A	http://www.imdb.com/title/tt0015873/
629		86.00000009	It Always Rains on Sunday (British)	1947	Drama	N/A	http://www.imdb.com/title/tt0040481/
630	384	86.00000004	Little Man, What Now?	1934	Drama	N/A	http://www.imdb.com/title/tt0025408/
631	385	86.00000003	Alambrista!	1977	Drama	N/A	http://www.imdb.com/title/tt0075654/
632		86.00000003	Boat People (Hong Kong-Chinese)	1983	War Drama	R	http://www.imdb.com/title/tt0084807/
633	386	85.90207999	The Terminator	1984	Science Fiction	R	http://www.imdb.com/title/tt0088247/
634	387	85.90200515	To Be or Not To Be	1942	Comedy	N/A	http://www.imdb.com/title/tt0035446/
635	388	85.90200338	Scarface	1932	Crime Drama	PG	http://www.imdb.com/title/tt0023427/
636	389	85.84502714	The Sound of Music	1965	Musical	G	http://www.imdb.com/title/tt0059742/
637	390	85.84201577	Fantasia	1940	Musical	G	http://www.imdb.com/title/tt0032455/
638	391	85.82203095	Rocky	1976	Drama	PG	http://us.imdb.com/title/tt0075148/
639	392	85.80901429	My Fair Lady	1964	Musical	G	http://www.imdb.com/title/tt0058385/
640	393	85.80302811	JFK	1991	Drama	R	http://www.imdb.com/title/tt0102138/
641	394	85.80302738	Beauty and the Beast	1991	Fantasy	G	http://www.imdb.com/title/tt0101414/
642		85.80300861	Henry V (British)	1989	Action	PG-13	http://www.imdb.com/title/tt0097499/
643	395	85.80300852	The Man Who Would Be King	1975	Adventure	PG	http://www.imdb.com/title/tt0073341/
644	396	85.80300777	Crimes and Misdemeanors	1989	Comedy-Drama	PG-13	http://www.imdb.com/title/tt0097123/
645	397	85.8030015	The Palm Beach Story	1942	Comedy	N/A	http://www.imdb.com/title/tt0035169/
646	398	85.80005929	Being John Malkovich	1999	Fantasy	R	http://www.imdb.com/title/tt0120601/
647	399	85.80003919	Mulholland Dr.	2001	Mystery	R	http://www.imdb.com/title/tt0166924/
648	400	85.80003718	The Exorcist	1973	Horror	R	http://www.imdb.com/title/tt0070047/
649	401	85.80003483	Sideways	2004	Comedy-Drama	R	http://www.imdb.com/title/tt0075132/
650	402	85.80003091	The Insider	1999	Drama	R	http://www.imdb.com/title/tt0140352/
651	403	85.80002738	Adaptation	2002	Drama	R	http://www.imdb.com/title/tt0268126/
652	404	85.80002564	Planet of the Apes	1968	Science Fiction	G	http://www.imdb.com/title/tt0054757/
653		85.80001441	All About My Mother (Spanish-French)	1999	Drama	R	http://www.imdb.com/title/tt0185125/
654	405	85.80001016	The Killing Fields	1984	War Drama	R	http://www.imdb.com/title/tt0087553/
655	406	85.80000976	Harold and Maude	1972	Comedy-Drama	PG	http://www.imdb.com/title/tt0067185/
656	407	85.80000944	Rio Bravo	1959	Western	N/A	http://www.imdb.com/title/tt0053221/
657	408	85.80000572	Invasion of the Body Snatchers	1956	Science Fiction	N/A	http://www.imdb.com/title/tt0049366/
658		85.80000546	Breathless (French)	1959	Crime Drama	N/A	http://www.imdb.com/title/tt0053472/
659	409	85.80000511	Hoop Dreams	1994	Documentary	PG-13	http://www.imdb.com/title/tt0110057/
660		85.8000049	Amarcord (Italian)	1974	Comedy-Drama	R	http://www.imdb.com/title/tt0071129/
661	410	85.80000465	You Can't Take It With You	1938	Comedy	N/A	http://us.imdb.com/title/tt0030993/
662		85.80000421	The Ladykillers (British)	1955	Comedy	N/A	http://www.imdb.com/title/tt0048281/
663		85.80000399	Kiki's Delivery Service (Japanese)	1989	Fantasy	G	http://www.imdb.com/title/tt0097814/
664		85.80000396	Shall We Dance? (Japanese)	1996	Comedy-Drama	PG	http://www.imdb.com/title/tt0117615/
665		85.80000352	Au Revoir, Les Enfants (French)	1987	War Drama	PG	http://www.imdb.com/title/tt0092593/
666		85.80000335	Farewell, My Concubine (Chinese)	1993	Drama	R	http://www.imdb.com/title/tt0106332/
667		85.80000335	The Umbrellas of Cherbourg French)	1964	Musical	N/A	http://www.imdb.com/title/tt0058450/
668		85.80000285	Breaker' Morant (Australian)	1979	War Drama	PG	http://www.imdb.com/title/tt0080310/
669	411	85.80000244	The Miracle Worker	1962	Biography	N/A	http://www.imdb.com/title/tt0056241/
670		85.80000231	Soldier of Orange (Dutch)	1979	War Drama	R	http://www.imdb.com/title/tt0076734/
671		85.80000227	Day for Night (French)	1973	Comedy-Drama	PG	http://www.imdb.com/title/tt0070460/
672	412	85.80000223	The Ghost and Mrs. Muir	1947	Fantasy	N/A	http://www.imdb.com/title/tt0039420/
673		85.80000173	The Exterminating Angel (Mexican)	1962	Drama	N/A	http://www.imdb.com/title/tt0056732/
674		85.80000168	The Innocents (British)	1961	Thriller	N/A	http://www.imdb.com/title/tt0055018/
675		85.80000154	The Silence (Swedish)	1963	Drama	N/A	http://www.imdb.com/title/tt0057611/
676		85.8000015	Nostalghia (Italian-Russian)	1983	Drama	N/A	http://www.imdb.com/title/tt0310281/
677	413	85.80000145	Sons of the Desert	1933	Comedy	N/A	http://www.imdb.com/title/tt0065547/
678	414	85.80000138	The Circus (Silent)	1928	Comedy	N/A	http://www.imdb.com/title/tt0018773/
679	415	85.80000126	Random Harvest	1942	Drama	N/A	http://www.imdb.com/title/tt0035238/
680		85.80000123	Come and See (Russian)	1985	War Drama	N/A	http://www.imdb.com/title/tt0091251/
681	416	85.80000123	Tarzan and His Mate	1934	Adventure	N/A	http://www.imdb.com/title/tt0025862/
682	417	85.80000119	Pickup on South Street	1953	Suspense	N/A	http://www.imdb.com/title/tt0032762/
683		85.80000093	The Servant (British)	1963	Drama	N/A	http://www.imdb.com/title/tt0057490/
684	418	85.8000009	The Scarlet Claw	1944	Mystery	N/A	http://www.imdb.com/title/tt0037248/
685		85.80000085	Day of Wrath (Danish)	1943	Drama	N/A	http://www.imdb.com/title/tt0036506/
686		85.8000008	Strike (Russian Silent)	1924	Drama	N/A	http://www.imdb.com/title/tt0015361/
687	419	85.80000076	The Snake Pit	1948	Drama	N/A	http://www.imdb.com/title/tt0040806/
688		85.80000072	Aparajito (Indian)	1956	Drama	N/A	http://www.imdb.com/title/tt0048956/
689	420	85.80000072	Visions of Light: The Art of Cimenatography (U.S.-Japanese)	1993	Documentary	N/A	http://www.imdb.com/title/tt0105764/
690	421	85.8000006	The Narrow Margin	1952	Crime Drama	N/A	http://www.imdb.com/title/tt0044954/
691		85.80000053	My Brilliant Career (Australian)	1979	Biography	G	http://www.imdb.com/title/tt0079596/
692	422	85.80000051	The Mortal Storm	1940	Drama	N/A	http://www.imdb.com/title/tt0032811/
693		85.80000049	A Taste of Honey (British)	1961	Drama	N/A	http://www.imdb.com/title/tt0055506/
694	423	85.80000047	The Devil and Daniel Webster	1941	Fantasy	N/A	http://www.imdb.com/title/tt0033532/
695		85.80000045	Mon Oncle d'Amerique (French)	1980	Drama	PG	http://www.imdb.com/title/tt0081176/
696	424	85.80000042	Into the Arms of Strangers: Stories of the Kindertransport	2000	Documentary	PG	http://www.imdb.com/title/tt0248912/
697	425	85.80000042	Island of Lost Souls	1933	Horror	N/A	http://www.imdb.com/title/tt0024188/
698		85.80000039	Dr. Mabuse: Der Spieler (German Silent)	1922	Crime Drama	N/A	http://www.imdb.com/title/tt0013086/
699		85.80000033	The New Land (Swedish)	1972	Drama	PG	http://www.imdb.com/title/tt0069035/
700		85.80000032	Went the Day Well? (British)	1942	War Drama	N/A	http://www.imdb.com/title/tt0035429/
701	426	85.80000029	Burden of Dreams	1982	Documentary	N/A	http://www.imdb.com/title/tt0083702/
702		85.80000028	Under the Roofs of Paris (French)	1930	Drama	N/A	http://www.imdb.com/title/tt0021409/
703		85.80000023	Street of Shame (Japanese)	1956	Drama	N/A	http://www.imdb.com/title/tt0048933/
704		85.80000023	The Winslow Boy (British)	1948	Crime Drama	N/A	http://www.imdb.com/title/tt0040970/
705		85.8000002	The Mystery of Picasso (French)	1956	Documentary	PG	http://www.imdb.com/title/tt0049531/
706		85.80000018	Eboli (Italian)	1979	Biography	N/A	http://www.imdb.com/title/tt0079010/
707		85.80000018	General Della Rovere (Italian)	1959	War Drama	N/A	http://www.imdb.com/title/tt0053856/
708		85.80000016	King & Country (British)	1964	War Drama	N/A	http://www.imdb.com/title/tt0058263/
709	427	85.80000015	The Old Fashioned Way	1934	Comedy	N/A	http://www.imdb.com/title/tt0025590/
710	428	85.80000013	The Long Way Home	1997	Documentary	N/A	http://www.imdb.com/title/tt0119561/
711		85.80000004	The Stolen Children (Italian-French)	1992	Drama	N/A	http://www.imdb.com/title/tt0104663/
712	429	85.80000002	God's Country	1985	Comedy-Drama	N/A	http://www.imdb.com/title/tt0091125/
713	430	85.70200771	Cabaret	1972	Musical	PG	http://www.imdb.com/title/tt0068327/
714	431	85.70200346	Days of Heaven	1978	Drama	PG	http://www.imdb.com/title/tt0077405/
715	432	85.70200278	The Asphalt Jungle	1950	Crime Drama	N/A	http://www.imdb.com/title/tt0042208/
716	433	85.70200255	Mildred Pierce	1945	Drama	N/A	http://www.imdb.com/title/tt0037913/
717	434	85.70200214	Now, Voyager	1942	Drama	N/A	http://www.imdb.com/title/tt0035140/
718	435	85.70200086	Gun Crazy	1949	Crime Drama	N/A	http://www.imdb.com/title/tt0042530/
719	436	85.60302147	The Birds	1963	Thriller	PG-13	http://www.imdb.com/title/tt0056869/
720		85.60001454	Whale Rider (New Zealand)	2003	Drama	PG-13	http://www.imdb.com/title/tt0298228/
721	437	85.60301454	Night of the Living Dead	1968	Horror	N/A	http://www.imdb.com/title/tt0063350/
722	438	85.6030081	Hannah and Her Sisters	1986	Comedy-Drama	PG-13	http://www.imdb.com/title/tt0091167/
723	439	85.60300594	Miracle on 34th Street	1947	Fantasy	N/A	http://www.imdb.com/title/tt0039628/
724	440	85.60300606	What Ever Happened to Baby Jane?	1962	Comedy-Drama	N/A	http://www.imdb.com/title/tt0056687/
725	441	85.60300558	Key Largo	1948	Drama	N/A	http://www.imdb.com/title/tt0040506/
726	442	85.60300455	Freaks	1932	Horror	N/A	http://www.imdb.com/title/tt0022913/
727	443	85.60300055	The Thief of Bagdad (Silent)	1924	Fantasy	N/A	http://www.imdb.com/title/tt0015400/
728	444	85.60006269	Spider-Man 2	2004	Science Fiction	PG-13	http://www.imdb.com/title/tt0077405/
729	445	85.60004408	O Brother, Where Art Thou?	2000	Comedy-Drama	PG-13	http://www.imdb.com/title/tt0190590/
730		85.60002103	Goldfinger (British)	1964	Action	GP	http://www.imdb.com/title/tt0058150/
731	446	85.60001433	Dawn of the Dead	1978	Horror	R	http://www.imdb.com/title/tt0077402/
732	447	85.60001263	Happiness	1998	Drama	N/A	http://www.imdb.com/title/tt0147612/
733	448	85.6000124	The Remains of the Day	1993	Drama	PG	http://www.imdb.com/title/tt0107943/
734		85.60001219	Delicatessen (French)	1991	Comedy	R	http://www.imdb.com/title/tt0101700/
735	449	85.60001115	In the Name of the Father (U.S.-Irish)	1993	Suspense	R	http://www.imdb.com/title/tt0107207/
736	450	85.60001108	The Magnificent Seven	1960	Western	PG	http://www.imdb.com/title/tt0054047/
737	451	85.60000967	American Splendor	2003	Biography	R	http://www.imdb.com/title/tt0305206/
738		85.60000907	Secrets & Lies (British)	1996	Drama	R	http://www.imdb.com/title/tt0117589/
739		85.6000073	Once Were Warriors (New Zealand)	1994	Drama	R	http://www.imdb.com/title/tt0110729/
740		85.60000566	The Day of the Jackal (British-French)	1973	Suspense	PG	http://www.imdb.com/title/tt0069947/
741	452	85.60000524	Cat on a Hot Tin Roof	1958	Drama	N/A	http://www.imdb.com/title/tt0051459/
742	453	85.60000335	Fail-Safe	1964	Suspense	N/A	http://www.imdb.com/title/tt0058083/
743	454	85.60000302	Zorba the Greek	1964	Drama	N/A	http://www.imdb.com/title/tt0057831/
744	455	85.60000273	The Women	1939	Comedy	N/A	http://www.imdb.com/title/tt0032143/
745		85.60000235	The Trial (French-Italian-German)	1962	Drama	N/A	http://www.imdb.com/title/tt0057427/
746	456	85.60000221	Horse Feathers	1932	Comedy	N/A	http://www.imdb.com/title/tt0023027/
747		85.60000207	Pelle the Conqueror (Danish-Swedish)	1988	Drama	PG-13	http://www.imdb.com/title/tt0093713/
748		85.60000205	The Lavender Hill Mob (British)	1951	Comedy	N/A	http://www.imdb.com/title/tt0044829/
749		85.60000193	Le Samourai (French)	1967	Thriller	PG	http://www.imdb.com/title/tt0062229/
750	457	85.60000192	Goodbye, Mr. Chips (U.S.-British)	1939	Drasma	N/A	http://www.imdb.com/title/tt0031385/
751		85.6000019	The Mirror (Russian)	1976	Drama	N/A	http://www.imdb.com/title/tt0072443/
752	458	85.60000188	Elmer Gantry	1960	Drama	N/A	http://www.imdb.com/title/tt0053793/
753	459	85.60000186	Captain Blood	1935	Adventure	N/A	http://www.imdb.com/title/tt0026174/
754	460	85.60000185	Days of Wine and Roses	1962	Drama	N/A	http://www.imdb.com/title/tt0055895/
755	461	85.60000173	Holiday	1938	Comedy-Drama	N/A	http://www.imdb.com/title/tt0030241/
